Company Name,Ticker,Cash Flow ,Net Margin,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Current Ratio,Debt/Equity Ratio,Last Qtr EPS,12 Mo Trailing EPS,EBITDA ,EBIT ,Annual Sales,Dividend ,Market Value/# Analysts,Current ROA (TTM),ROA (5 Yr Avg),52 Week High,Market Cap ,Div. Yield %,PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,P/E (Trailing 12 Months),Shares Outstanding ,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Operating Margin 12 Mo,Avg Volume
"Aspen Technology, Inc.","AZPN","156.95399",".3","-4","0","502.27999","131.17999",".26","0",".59","2.29","215.57","209.02999","499.51","0","1912.45007","65.48","42.28699","108.42","7649.8","0","2.29","49.02","","15.31","52.81","71.01","-53.91","-53.91","9.71739","29.81","513152.09"
"Azure Power Global Ltd.","AZRE","32.36","-.11","7.53","802.25","79.05999","237.66","3.81","4.43","0","-.75","109.01","59.79","118.27","0","404.25335","-1.68","","17","404.25","0","","12.49","2.06","3.23","","26","-9.47","-1.89","","-15.32","33286.25"
"AZURRX BIOPHARM","AZRX","-10.34001","",".45","0","2.47","1.95","3.31","0","-.29","","-9.47001","-10.22001","","0","19.70014","-171.6","","4.8","39.4","0","","","5.17","","","16.91","-381.67","-381.67","","","38264.8"
"Allianz SE","AZSEY","9429.0996",".06","17.61","25873.69921","687698.3125","37858.26953",".06","",".52","1.74","14514.16992","12768.99023","123780.8","1.202","46391.24218","",".82125","25.47","92782.48","3.34","","9.84","1.2",".68","12.11","4402.49","","","8.0207","","198002.16"
"AZUL SA","AZUL","272.893",".07","2.48","915.07","1044.27001","1034.83996",".95","1.15","-.11","1.88","458.45001","351.33999","2441.15","0","3013.22607","6.82","","34.75","6026.45","0","","22.05","7.56","2.36","9.96","321.75","24.66","12.54","","8.24","859847.13"
"AZZ Inc.","AZZ","86.257",".06","22.15","0","131.72999","329.14999","2.96",".56",".6","1.06","95.87","44.75","810.43",".68","1402.85534","2.7","6.14179","55.5","1402.86","1.26","","16.22","2.43","1.63","50.85","26.03","4.99","3.56","7.8593","3.24","133591"
"Barnes Group, Inc.","B","247.21",".04","23.31","525.59002","315.76","768.71997","2.25",".47",".9","2.99","300.41","210.25999","1436.5",".55","864.90576","6.79","6.3673","72.44","3459.62",".95","5.18","14.66","2.9","2.35","22.6","51.19","12.69","8.99","8.2784","10.95","204956.25"
"The Boeing Company","BA","9417.12695",".09","-2.39","9782","56269","65161","1.11","-7.65","3.33","14.49","12546","10477","93392","5.67999","22112.17382","8.47","6.25409","371.56","199009.56","1.97","1.72","21.91","","2.04","23.91","574.51","2344.87","82.64","42.68299","8.92","3016709.5"
"Alibaba Group Holding Limited","BABA","14024.12988",".26","27.17","19055","21651","40949","1.89","",".91","5","20085","16575","39898","0","55314.52343","10.24","11.722","210.86","442516.19","0","1.1","31.55","6.36","11.55","44.99","2561.15","16.61","13.22","15.51","26.12","22520468"
"BAB Inc.","BABB",".46399",".2",".4","0","1.00999","1.65999","1.79","0",".02",".07",".46",".44999","2.22",".03999","","14.18","10.026",".82","4.94","5.88","","10.64","1.7","2.26","9.71","7.26","19.16","19.16","13.25599","24.92","12522.2"
"Natus Medical Incorporated","BABY","78.19999","-.04","12.19","154.27999","92.12999","305.61999","2.99",".29",".35","1.41","35.24","5.15","500.97","0","406.29598","6.77","9.08479","43.1","1218.89","0","","14.52","2.99","2.37","25.85","33.44","11.18","8.38","11.25399","9.1","354420.69"
"Bank of America Corporation","BAC","25454",".18","23.53","227402","1752386","1590101",".91",".94",".63","2.2","44548","40194","100264",".38999","34987.89062","1.07",".69831","32.84","314891.03","1.56","1.52","12.42","1.31","3.03","13.97","10243.69","10.06","4.96","3.10599","23.68","55166176"
"Bank of China Ltd.","BACHY","27998.05078",".24","69.76","4532.93994","2574236","2160566",".84","",".63","2.15","47227.53125","44745.72265","105273.4",".50344","",".92","1.0411","15.4","37864.17","4.92","","1.35",".16",".34","5.27","3344.89","11.45","11.25","7.63199","23.88","56023.55"
"Bae Systems PLC","BAESY","2566.99902",".05","7.74","5244.12011","9158.20996","9943.08984","1.09","","","","3381.79003","2443.55004","23113.54","1.0894","8595.80468","","","36.25","25787.41","3.48","2.82","10.04","4.18","","","797.14","","","","","107275.55"
"Balfour Beatty PLC","BAFYY","247.363",".02","3.98","853.17999","3308.35009","3042.85009",".92","","","","309.29998","244.86","8909.12",".06308","","","","8.55","2469.27","1.58","","9.98","1.8","","","344.87","","","","","4601.4"
"Booz Allen Hamilton Holding Corporation","BAH","368.42001",".05","4.26","1755.46997","1036.16003","1488.70996","1.48","2.87",".72","2.2","590.98999","520.26","6171.85",".69999","886.12432","9.02","8.2327","49.74","7088.99","1.53","1.78","19.58","11.67","1.12","22.61","142.52","57","13.85","13.06599","5.1","1162278.25"
"Braskem S.A.","BAK","2194.06103",".07","3.39","7585.50976","5993.93017","5635.18994",".87","5.51",".81","3.25","3787.43994","2870.12988","18264.68",".75473","11436.09277","5.05","2.9681","32.56","11436.09","3.55","","5.21","8.48",".67","8.83","398.61","43.81","9.2","6.72079","4.89","347956.31"
"Brookfield Asset Management Inc","BAM","3807",".04","75.57","72730","25048","29828","1.26","1.05",".62","2.68","11117","8772","40786",".56","","1.46","1.62549","44.01","43637.97","1.36","","11.08",".58",".85","16.41","992.22","3.74","1.84","1.99119","5.49","774839"
"Bayerische Motoren Werke AG","BAMXF","15290.68945",".09","102.43","60525.30078","78043.82031","80909.13281","1.04","","3.73","15.67","17959.33007","12509.02929","111535.7","0","55489.625","4.71","3.9962","118","55489.63","0","1.52","3.63",".9",".48","","601.91","16.81","8.4","7.3758","8.97","1114.1"
"Bandwidth Inc.","BAND","13.814",".04","5.38","0","24.51","65.25","3.36","0",".2",".55","20.68","14.6","162.96","0","421.38836","7.62","","44.75","842.78","0","","57.13","8.31","4.55","106.55","18.83","13.25","11.59","","4.42","151364.25"
"Credicorp Ltd.","BAP","1384.08801",".26","86.09","4981.5","36604.76171","40671.17187","1.19",".89","4.02","13.76","2399.01","2270.20996","4825.15","3.7376","8843.89941","2.58","2.0432","237.12","17687.8","1.98","1.31","12.73","2.58","3.54","16.12","79.76","19.58","10.22","8.1723","26.9","209028.84"
"5Barz International Inc.","BARZ","-9.83801","","","0","9.73999",".57999","","","","","-9.11","-9.67001","0","0","","","-162.25",".07","33.34","0","","","","","","479.68","","","-572.599","","1084012.75"
"Basic Energy Services, Inc.","BAS","60.61999","-.11","10.7","259.23999","190.94999","299.60998","1.49",".99","-.83","-2.49","58.93999","-60.88001","864.04","0","77.91297","-8","-9.57401","26.28","233.74","0","","3.79",".83",".24","","26.47","-20.44","-11.12","-14.57801","-6.89","647021.38"
"BASF SE","BASFY","4577.8208",".09","12.17","17559.21093","16818.85937","35203.19921","2.07","",".53","1.97","14211.25","9449.2998","72832.57",".60461","40882.43359","7.81","6.91989","30.01","81764.87","2.94","1.77","17.86","1.83","1.06","11.3","3674","17.58","12.33","11.89299","9.33","167605.34"
"Bioanalytical Systems, Inc.","BASI","2.55999",".04",".83","4.21","7.71999","5.3",".73",".47",".01","-.17","2.95","1.26999","24.24","0","","1.66","-1.1563","2.87","16.39","0","","5.15","1.92",".71","","10.24","4.43","2.72","-3.64931","1.48","20083.65"
"Liberty Media Corporation","BATRA","","","","","","","","","-.04","-.54","","","386","0","","","","26.95","270.52","0","","","",".65","","10.24","","","","-6.75","41812"
"Liberty Media Corporation","BATRB","","","","","","","","","-.04","-.54","","","386","0","","","","27.54","26.51","0","","","",".06","",".98","","","","-6.75","28.15"
"Liberty Media Corporation","BATRK","","","","","","","","","-.04","-.54","","","386","0","1043.44116","","","26.86","1043.44","0","","","","2.51","","39.74","","","","-6.75","150701.8"
"Baxter International Inc.","BAX","2137",".07","16.6","3509","2821","7263","2.62",".39",".77","2.75","2033","1272","10561",".61","3848.85229","8.92","8.6048","76.51","38488.52","1.05","1.95","18.37","4.34","3.5","26.2","534.27","16.63","12.01","13.019","13.81","3260865.25"
"Bayer Aktiengesellschaft","BAYRY","8793.65917",".21","14.26","14109.54003","15364.16992","33991.51171","2.53","",".69","2.04","10028.00976","7021.41992","39553.82",".53917","37593.14843","7.87","7.82009","35.29","75186.3","2.5","1.67","8.55","1.59","1.69","11.16","3307.8","17.97","12.75","14.569","15.86","894462"
"BlackBerry Limited","BB","205",".43","4.42","782","464","2548","6.53",".34",".03",".16","583","406","932","0","5410.8125","2.56","-1.7892","14.4","5410.81","0","","26.37","2.28","5.95","143.86","537.32","3.91","2.98","-2.6132","10.88","4088791.25"
"New York Health Care Inc.","BBAL","","","","","","","","","","","","","","0","","","",".01",".07","0","","","","","","33.54","","","","","4676.45"
"BBA AVIATION","BBAVY","427.70001",".05","9.37","1199.69995","690.59997","725.5","1.05","","","","422.1","240.8","2370.6",".57423","4109.54882","","","26.42","4109.55","4.21","2.36","9.6","2.12","","","206.51","","","","","4841.85"
"Bed Bath & Beyond Inc.","BBBY","748.50402",".03","20.74","1492.06994","2165.67993","3971.07006","1.86",".51",".32","2.99","1074.42004","761.32","12349.3",".57499","286.33435","5.92","12.076","29.5","2577.01","3.48","","3.5",".89",".21","6.15","140.13","14.73","9.63","19.5","3.36","2722408.25"
"Banco Bradesco SA","BBD","7862.62207",".1","4.72","24737.90039","288694.40625","318086.6875","1.12",".69",".24",".92","23091.67968","21190.99023","46463.87",".23499","16265.40332","1.57","1.51769","11.89","48796.21",".69",".48","6.21","1.54","1.24","7.88","6693.58","17.06","9.58","7.597","14.86","12781669"
"Banco Bradesco SA","BBDO","7862.62207",".1","9.41","24737.90039","288694.5","318086.6875","1.14",".85",".24",".92","23091.67968","21190.99023","46463.87",".21193","","1.57","1.52049","11.27","22225.59",".69","","2.83",".7",".57","7.15","3359.93","17.06","9.39","7.6111","14.86","13910.45"
"Beasley Broadcast Group, Inc.","BBGI","41.91999",".38","9.9","212.46","28.95999","84.66","2.35",".77",".18",".79","65.61","57.33","232.18",".18","","3.4","3.4426","14.05","184.29","2.99","","4.61",".68",".79","10","27.51","8.35","4.62","4.82579","9.3","163832.95"
"VanEck Vectors Biotech ETF","BBH","","","","","","","","","","","","","",".683","","","","136.45","458.92",".53","","","","","","3.55","","","","","19702.7"
"BHP Billiton PLC","BBL","14451","","58.87","29233","11366","21056","1.75","","","","19615","11896","38285","1.96","11077.43945","","","47.86","44309.76","4.67","","3.07",".71","","","1056","","","","","1294177"
"Britannia Bulk Holdings Inc.","BBLKF","","","","","","","","","","","","","","0","","","",".01",".02","0","","","","","","26.98","","","","","2237.5"
"Black Box Corporation","BBOX","8.61999","-.13","3.33",".46999","309.02999","286.83999",".93","","-.4","-1.27","-17.34001","-45.46","774.6",".11999","","-4.84","2.4161","4.15","24.98","0","","2.88",".49",".03","","15.23","-19.41","-10.37","3.2843","-2.58","365010.5"
"BB Seguridade Participacoes SA","BBSEY","1150.77001","","","0","952.19","2987.04003","","","","","1383.16003","1383.16003","1543.25",".37902","","","31.64599","10.41","13300","5.37","","11.56","","","","2000","","","41.096","","71402.55"
"Barrett Business Services, Inc.","BBSI","30.62",".03","11.53","4.17","322.25","308.23001",".93",".05","1.46","3.55","40.13","34.68","920.43","1","555.89324","4","5.40329","97.7","555.89","1.32","","18.01","6.55",".59","21.28","7.36","33.22","31.63","40.145","2.91","47867.25"
"BB&T Corporation","BBT","3095",".2","34.58","23648","168299","146393",".88",".9","1.01","3.58","4371","3821","12156","1.25999","2900.30419","1.33","1.1646","56.03","40604.26","3.09","1.12","13.25","1.52","3.25","14.56","774.45","11.02","5.58","4.826","23.53","3529984.75"
"Brookfield Business Partners L.P.","BBU","668.73199","0","74.86","2440","5690","6433","1.29",".9",".92",".12","796","425","22823",".25","","3","1.228","41.24","2679.21",".62","","3.95",".54",".08","","66.19","8.81","5.94","2.52419","1.48","21893.1"
"Big Buck Brewery & Steakhouse Inc.","BBUCQ","","","","","","","","","","","","","","0","","","",".03",".01","0","","","","","",".86","","","","","85.95"
"Banco Bilbao Viscaya Argentaria S.A.","BBVA","6811.43896",".14","9.46","72243.13281","584892.875","612434.875",".26","1.2",".21",".61","9401.82031","7834.10009","28545.62",".26842","20422.17187",".54",".48025","9.54","40844.34","4.81",".86","6",".66","1.84","10.2","6566.62","7.01","3.17","2.5441","19.71","3329691.75"
"Build-A-Bear Workshop, Inc.","BBW","24.597",".02","7","0","69.86","110.22","2.19","",".02",".37","29.97999","13.81999","357.87","0","126.19319","3.21","5.6504","10.1","126.19","0","2.17","5.44","1.2",".36","22.7","15.02","5.54","5.54","11.15799","1.69","68552.8"
"BBX Capital Corp.","BBX","98.84999",".1","6.57","135.41","596.59997","860.5","1.23",".21",".36",".62","152.41999","128.57","815.78",".02999","733.13684","2.41","3.46889","10.01","733.14",".53","","7.6","1.15",".81","20.38","97.23","6.11","5.01","7.6503","4.27","382252.59"
"BBX Capital Corp.","BBXTB","98.84999",".1","6.57","135.41","596.59997","860.5","1.23",".21",".36",".62","152.41999","128.57","815.78",".02999","","2.41","3.4639","10.5","729.25",".53","","7.56","1.14",".81","20.27","97.23","6.11","5.01","7.6391","4.27","1257.5"
"Best Buy Co., Inc.","BBY","2041.01696",".02","12.13","811","7817","9829","1.27","",".82","4.71","2575","1892","42151","1.36","1993.33508","10.52","7.23859","78.78","21926.69","2.29","1.37","11.24","6.47",".51","16.66","279.39","36.16","29.21","17.91399","3.29","2258328.25"
"Brunswick Corporation","BC","448.58099",".03","17.31","431.79998","1035.09997","1846.69995","1.7",".29","1.5","4.12","467.89999","369.70001","4510",".685","469.09921","10.72","9.2882","68.77","5629.19",".29","1.15","12.69","3.75","1.18","15.75","86.72","24.14","18.77","18.31699","7.6","818227.88"
"Brilliance China Automotive Holdings Ltd. Unsponsored ADR","BCAUY","595.07202","","","0","1252.56005","1054.90002","","","","","575.98999","535.41998","771.82",".13095","6266.26269","","","30.3","6266.26","1.05",".19","10.52","","","","504.53","","","","","5678.3"
"BCB Holdings Ltd.","BCBHF","","","","","","","","","","","","","","0","","","",".35","19.98","0","","","","","","99.9","","","","","230.4"
"Boise Cascade, L.L.C.","BCC","157.177",".02","19.75","438.30999","381.55999","932.57","2.25",".57","1.29","3.32","225.27","142.94999","4431.99",".07","593.76647","7.68","4.67239","49.1","1781.3",".61","1.48","11.24","2.32",".36","13.8","38.89","18.66","11.47","7.11539","2.66","441748.59"
"Baristas Coffee Company Inc.","BCCI","-3.40001","","","0","2.27999",".01999","","","","","-3.17001","-6.08","1.2","0","","","",".03",".52","0","","","","","","71.6","","","","","83035.7"
"BIOCARDIA INC","BCDA","-12.238","-25.68",".15","0","2.32999","13.31","4.11","0","-.08","","-12.23","-12.30001",".48","0","","-111.99","-15.02701","7.2","52.44","0","","","9.12","78.5","","38.28","-136.8","-136.8","-17.404","-1989.07","3269"
"BCE, Inc.","BCE","5308.56103",".13","14.43","14051.0498","8321.08984","3578.52001",".5","1.1",".65","2.58","6799.10986","3829.21997","17518.05","2.2574","6217.10498","5.37","5.6159","48.91","37302.63","5.52","4.45","7.05","2.88","2.06","16.1","897.99","18.67","7.75","8.1681","12.95","634799.75"
"Banco De Chile","BCH","997.26",".24","29.91","12485.58007","31434.78906","44067.91015","1.41","2.57","1.58","5.57","1178.27001","1117.01","3836.7","2.0771","5062.69091","1.75","1.95749","103.19","15188.07","2.59","1.27","15.23","3","4.15","16.48","169.45","17.99","5.23","6.1879","25.06","30211.67"
"Babcock International Group PLC","BCKIY","661.06597","","","1827.72998","1966.56994","1652.94995","","","","","672.98999","552.33001","6166.32",".3296","1515.10559","","","13","4545.32","5.65","2","6.88","","","","505.6","","","","","40"
"Brainstorm Cell Therapeutics Inc.","BCLI","-4.32201","",".62","0","5.53999","9.61999","2.4","0","-.16","-.39","-4.32001","-4.95","","0","38.96295","-56.53","-65.42601","5.19","77.93","0","","","6.05","","","20.67","-108.26","-108.26","-91.53","","60937.9"
"Bank of Communications Co.","BCMXY","11840.88964",".22","65.14","114938.70312","1092438","937813.125",".86","","1.06","3.27","13701.83984","12323.21972","46681.42",".84666","","",".96312","21.15","25642.7","5.13","","2.17",".28",".47","5.6","1400.47","","","8.4158","","11.85"
"Brink's Company (The)","BCO","303.79998","0","4.81","1139.59997","834.90002","1488.19995","1.79","4.63",".74","3.17","360.29998","213.69999","3347",".55","986.55804","5.64","4.67869","87.85","3946.23",".77","1.13","12.87","16.1","1.13","24.43","50.95","46.24","12.21","11.95199","4.75","368607.41"
"B Communications Ltd.","BCOM","637",".01","31.45","3588","1186","1538","1.32","",".27",".77","924","313","2823","0","",".4",".42436","20.49","194.98","0","",".31",".21",".07","8.47","29.89","2.76",".52",".58799",".82","1699.45"
"Blucora, Inc.","BCOR","98.68099",".05","13.37","338.07998","51.75","99.38999","2.99",".41",".97","1.93","44.65999","3.48","509.56","0","823.0501","8.47","6.2012","39.9","1646.1","0","1.23","16.15","2.58","2.98","20.09","47.64","14.82","9.44","7.38149","15.44","398465.66"
"Brightcove Inc.","BCOV","-9.535","-.13","2.01","0","59.38","58.4","1.05","0","-.07","-.09","-11.87","-19.12001","155.91","0","72.95843","-8.01","-7.1994","10.55","291.83","0","","","4.05","1.8","","35.92","-15.19","-15.19","-12.17001","-6.49","261265.95"
"Balchem Corporation","BCPC","126.05899",".15","20.59","189.80999","108.38999","199.33","3.98",".33",".76","2.83","140.38999","96.01999","594.79",".41999","","8.9","9.4469","104.95","3380.54",".4","","26.65","5.1","5.32","38.73","32.21","13.78","10.46","11.178","13.6","87697.7"
"Blue Capital Reinsurance Holdings Ltd.","BCRH","-43.20001","-.87","14.23","0","54.5","17.1",".44","0",".28","-5.59","-43.20001","-43.20001","49.4",".89999","44.27436","-26.45",".17481","19.55","88.55","11.88","","",".71","1.97","","8.77","-38.82","-38.82","-1.27231","-108.91","22464.45"
"BioCryst Pharmaceuticals, Inc.","BCRX","-64.05201","-2.61",".42","19.5","74.83","125.38999","1.25",".35","-.19","-.83","-55.49001","-57.22001","25.19","0","155.32244","-47.69","-48.252","7.3","776.61","0","","","16.82","26.67","","109.38","-107.85","-85.93","-105.01101","-270.95","924809"
"Barclays PLC","BCS","5137.38818","-.06","20.15","349081.8125","712832.625","903134.3125","1.5","4.91",".43","1.13","6163.04003","4563.64013","27154.63",".14845","13565.69238",".3",".19469","12.45","40697.08","2.68",".34","7.92",".47","1.43","8.44","4265.94","5.42",".98","1.0173","16.38","1965014"
"BRIACELL THERAP","BCTXF","","","","","","","","","","","","","","0","","","",".12","17.3","0","","","","","","158.9","","","","","14395.85"
"Bancroft Fund Limited","BCV","","","","","","","","","","","","","","1.26999","","","","23.03","118.47","5.18","","","","","","5.29","","","","","11056.3"
"Blue Calypso Inc.","BCYP","-2.623","","","0",".62","1.05999","","","","","-2.25","-2.93001","1","0","","","-855.93903",".16",".39","0","","","","","","7.87","","","-869.84198","","4269.2"
"BGEO Group PLC","BDGSF","","","","","","","","","","","","","","0","","","","54.15","817.4","0","","","","","","39.47","","","","","171.2"
"Black Diamond Group Ltd.","BDIMF","17.634","-.61","3.2","88.75","30.18","32.2","1.07","","-.01","-.17","-56.25","-92.56","120.79",".17639","","-2.63","1.83539","2.91","136.69","0","","7.74",".78","1.07","","55.12","-4.71","-3.27","2.1709","-7.78","114.3"
"Flanigan's Enterprises, Inc.","BDL","5.71999",".03","21.98","11.31999","11.01","14.93","1.58",".32",".56","1.9","9.06","6.36","106.82",".2","","5.39","5.302","29","51.54",".9","","9.01","1.26",".46","14.59","1.86","8.96","6.75","6.6482","3.15","817.3"
"Birner Dental Management Services Inc.","BDMS","1.121","-.04","-1.7","10.11999","7.73999","6.34999",".42","-1.45","-.55","-1.62",".44999","-3.32","60.71","0","","-17.95","-5.4416","11.25","9.97","0","","8.85","",".16","","1.88","","-71.59","-19.463","-4.93","82"
"Brandywine Realty Trust","BDN","309.92001",".23","10.36","1930.81994","107.06999","389.86999","2.85","1.05",".35","1.34","390.72","205.55","520.49",".63999","503.36279","3.86",".87326","18.58","3020.18","4.26","2.23","9.56","1.63","5.68","12.62","178.6","8.38","4.08",".92295","28.81","1404921.25"
"Banco Do Brasil SA","BDORY","4353.08007","","","45691.58984","302679.6875","361823.8125","","",".31","","35976.09765","34697.64843","56058.16",".05497","","",".81902","13.47","23009.3",".7","","5.29","",".46","","2865.42","","","3.5283","","162620.59"
"Blonder Tongue Laboratories, Inc.","BDR",".25999","-.02",".8","3.71","3.93","8.94999","2.24",".39","-.01","",".95999",".31999","23.28","0","","-1.96","-13.62","1.63","12.17","0","","39.36","1.58",".56","","9.66","-4.07","-2.74","-23.18601","-1.36","71272.2"
"BEADELL RES LTD","BDREF","","","","","","","","","","","","","","0","46.87037","","",".19","46.87","0","","","","","","1233.43","","","","","4855"
"BioDelivery Sciences International, Inc.","BDSI","-15.941",".09",".68","47.65999","26.13999","39.74","3.16","1.21","-.16","-.84","4","-2.11","61.99","0","24.24901","-52.34","-49.843","3.3","169.74","0","","","4.17","3.59","","59.56","-278.79","-77.57","-92.239","-103.01","380259.25"
"Becton, Dickinson and Company","BDX","3209.10888",".09","79.81","18667","3342","18633","1.23",".95","2.91","10.44","2585","1497","12093","2.92","5209.67675","5.39","7.59189","253.12","67725.8","1.19","1.72","17.95","3.17","4.59","24.25","267.56","14.16","6.77","10.37699","18.41","957173.19"
"Bloom Energy Corporation","BE","","","","","","","","","-.27","","","","","0","","","","28.15","2354.67","0","","","","","","106.07","","","","","1874505.75"
"BioTelemetry, Inc.","BEAT","60.637","-.06","8.33","198.77999","50.95","90.09999","2.29",".72",".46","1.33","23.05999","-5.5","286.78","0","466.90457","8.9","7.8737","57.85","1867.62","0","3.88","30.44","6.84","5.07","42.82","32.79","18.02","10.26","10.01299","12.8","465137.16"
"bebe stores, inc.","BEBE","-28.32","","-1.17","0","62.38999","50.45999",".73","","","","-32.15001","-42.16","393.59",".5","","-41.29","-20.946","7.75","73.93","7.69","","","","","","11.37","-268.51","-268.51","-43.23601","","1406.65"
"Beacon Roofing Supply, Inc.","BECN","250.024",".02","26.99","750.22998","779.13","1603.82995","2.07","1.63","1.18","2.44","332.54998","216.08999","4376.67","0","219.43092","3.47","4.1103","66.08","2633.17","0",".66","10.32","1.43",".46","15.84","68.11","9.94","4.3","5.5763","3.12","1559889.63"
"Bright Scholar Education Holdings Ltd.","BEDU","","","","","","","","",".16","","","","","0","1530.8175","","","28.02","1530.82","0","","","","","","127.25","","","","","325532.31"
"BeesFree Inc.","BEES","","","","","","","","","","","","","","0","","","",".1",".33","0","","","","","","16.34","","","","","200"
"Belmond Ltd.","BEL","83.93","-.08","6.49","700.75","134.46","266.82","1.57","1.16",".19",".1","76.18","4.15","561","0","826.24591",".61","1.0828","16.05","1652.49","0","5.63","19.57","2.47","2.94","160.5","102.96","1.48",".72","1.3385","1.83","736252.81"
"Bel Fuse Inc.","BELFA","34.27799","-.02","13.6","120.05","87.3","266.08999","2.9",".69",".58",".82","39.40999","16.44","491.61",".23999","","2.42","4.11189","28.95","267.24","1.08","","7.81","1.64",".53","27.13","12.01","6.31","3.73","5.89909","2.07","3490.5"
"Bel Fuse Inc.","BELFB","34.27799","-.02","13.6","120.05","87.3","266.08999","2.9",".69",".62",".86","39.40999","16.44","491.61",".28","","2.42","4.117","33.25","314.09","1.07","","9.18","1.92",".62","30.41","12.01","6.31","3.73","5.90659","2.07","16344.55"
"Franklin Resources, Inc.","BEN","1849",".27","19.33","1097.59997","1114.69995","9751.5996","3.37",".07",".75","3.17","2752.8999","2600.60009","6392.2",".8","3449.06762","10.2","12.09399","45.86","17245.34","2.81","1.62","9.82","1.69","2.69","10.32","527.06","15.4","12.13","13.72","27.39","2983927.75"
"Brookfield Renewable Partners L.P.","BEP","833","0","72.22","10090","2514","1666",".78",".77","-.01","-.34","1553","771","2625","1.87","5660.3208",".21",".60784","35.82","5660.32","6.24","","6.8",".43","2.02","","180.26",".48",".27",".75804","2.28","139728.45"
"BE Semiconductor Industries NV","BESIY","210.69999",".29","6.13","302.08999","165.33999","861.77001","5.21","",".69","2.68","252.52999","237.42999","669.63",".6434","","21.77","14.71899","54.45","1692.6","11.37","","8.03","3.45","2.26","7.87","80.07","43.88","27.16","19.30699","28.7","967.25"
"Benev Capital Inc.","BEVFF","8.91199",".55","1.47","83.72","1.21","69.48","57.42","",".02",".09","13.86999","13.86999","16.13",".1707","","",".98128","2.95","260.6","7.04","","28.96","1.66","15.43","26.99","107.29","","","1.02699","","141.5"
"Brown Forman Corporation","BF.A","781",".22","2.74","2341","821","2555","3.11","",".23","1.53","1109","1045","3248",".60799","26008.86132","14.98","15.901","57.29","26008.86","1.17","","33.25","19.73","6.53","35.24","481.11","53.1","22.57","23.51199","18.6","27531.9"
"Brown-Forman Corporation","BF.B","781",".22","2.74","2341","821","2555","3.11","",".23","1.53","1109","1045","3248",".60799","5154.62304","14.98","15.901","59.22","25773.12","1.18","","32.95","19.56","6.47","34.92","481.11","53.1","22.57","23.51199","18.6","924514.88"
"Bright Horizons Family Solutions Inc.","BFAM","250.99099",".09","12.91","1046.01","460.64999","192.46",".34","1.39",".87","2.94","301.98001","205.42999","1740.91","0","6736.35351","6.34","5.10659","116.12","6736.35","0","2.65","27.44","8.99","3.69","43.82","58.01","20.9","8.75","6.775","8.61","222268.7"
"Bullfrog Gold Corp.","BFGC","-1.52","","0","0",".46",".3",".19","0","0","","-1.47001","-1.47001","","0","","-315.83","-290.60502",".16","7.76","0","","","","","","102.61","-1840.36","-1768.5","","","22675.3"
"BioForce Nanosciences Holdings Inc.","BFNH","-.03","-6.67","0","0",".00999",".01999","2.65","0","","","-.03","-.03","0","0","","","","1.2","57.03","0","","","5703.49","","","76.3","","","","","5144.7"
"BBVA Banco Frances S.A.","BFR","234.24699",".13","7.71","262.26","9323.00976","11193.12011","1.2","",".39","","527.67999","527.67999","1825.16",".25084","2019.73583","1.24","3.39089","26.6","2019.74","2.11","","8.62","1.28","","","204.22","10.96","9.99","23.08699","","388267.5"
"Biofrontera AG Sponsored ADR","BFRA","-16.285","-1.34","1.21","13.96","4.63999","20.85","9.9","","-.2","-.87","-15.98","-16.92001","13.58","0","296.00573","-61.2","","17.87","296.01","0","","","11.03","17.76","","22.12","-148.2","-74.33","","-106.21","15796.3"
"Saul Centers, Inc.","BFS","95.33699",".21","10.06","958.61999","23.12","64.95999","1.96","4.27",".79","3.01","107.73999","60.65999","227.29","2.03999","335.475","3.6","3.36319","65.3","1341.9","3.49","3.86","13.7","5.93","5.95","19.88","22.5","23.94","3.79","3.56089","22.84","35496.35"
"Bunge Limited","BG","883","0","43.31","4160","6215","10403","1.49",".82",".1","1.46","1102","493","45794","1.75999","2217.43188","1.09","2.83789","82.55","8869.73","2.92","","10.04","1.46",".19","43.18","140.7","3.5","1.91","5.39979",".5","1412178.25"
"BGC Partners, Inc.","BGCP","761.72698",".02","5.1","1650.5","2620.45996","3132.93994","1.16",".77",".3","1.26","551.96997","334.48999","3353.36",".69999","3771.76806","8.99","6.76639","16.75","3771.77","6.24","","4.42","2.26","1.04","9.16","326.84","46.19","19.26","14.67599","16.28","2042172.63"
"Blue Gem Enterprise Inc.","BGEM","","","","","","","","","","","","","","0","","","","0",".2","0","","","","","","156.96","","","","","25840.95"
"Big 5 Sporting Goods Corporation","BGFV","35.804","0","8.4","47.79999","183.72","350.89001","2.2",".52","-.01",".12","40.13","16.32999","1009.64",".6","125.37134",".57","4.052","9.4","125.37","10.26","","3.5",".7",".13","48.75","21.43","1.35","1.01","7.3467",".26","306427.81"
"Briggs & Stratton Corporation","BGG","114.01999","","13.37","221.78999","330.36999","689.44","1.77",".35",".47","1.29","156.13","99.94999","1881.29",".56","429.20993","3.67","3.57969","27.19","858.42","2.78","","7.53","1.5",".46","15.6","42.67","10.13","7.32","6.70219","2.97","371482.56"
