Company Name,Ticker,Cash Flow ,Net Margin,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Current Ratio,Debt/Equity Ratio,Last Qtr EPS,12 Mo Trailing EPS,EBITDA ,EBIT ,Annual Sales,Dividend ,Market Value/# Analysts,Current ROA (TTM),ROA (5 Yr Avg),52 Week High,Market Cap ,Div. Yield %,PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,P/E (Trailing 12 Months),Shares Outstanding ,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Operating Margin 12 Mo,Avg Volume
"Aoxin Tianli Group, Inc.","ABAC","4.309",".04","11.82","0","3.50999","68.62999","18.97","",".03",".17","4.3","1.1","27","0","","1.37","1.9742","3.57","19.08","0","","3.54",".16",".69","11.24","9.98","1.42","1.42","2.2441","4.64","12431.65"
"ABB Ltd","ABB","3768",".06","6.63","6709","16273","21939","1.15",".47",".37","1.35","4609","3508","34312",".72706","16068.05957","6.66","6.04939","28.6","48204.18","2.24","2.38","12.79","3.4","1.36","16.7","2138.61","19.94","13.83","11.68","8.17","2022144.75"
"AbbVie Inc.","ABBV","10512",".19","-2.23","30953","16641","21223",".8","-9.06","2","6.76","10232","8731","28216","2.55999","14962.53125","16","15.699","123.21","149625.31","3.89",".9","15.01","","4.84","14.62","1514.27","362.05","31.3","25.808","34.99","6926837.5"
"AmerisourceBergen Corporation","ABC","1736.08703","0","15.14","3781.56005","26818.16015","24303.30078",".94","1.39","1.54","6.36","1495.39001","1063.06005","153143.8","1.46","2108.74975","3.8","4.13329","105.48","18978.75","1.73","1.37","11.01","5.79",".12","13.79","216.36","48.65","19.3","22.055",".86","1568205.63"
"Cambium Learning Group, Inc.","ABCD","45.962",".28","-.14","41.84","107.37999","35.95999",".32","-5.94",".09",".26","46.49","20.61","158.18","0","618.12158","8.91","1.50109","13.58","618.12","0","","13.28","","3.88","50.31","47.26","-70.4","51.45","27.70499","8.53","180191.3"
"ABCO Energy, Inc.","ABCE","-.39","-.41","-.01","0","1.23",".09",".13","","-.01","","-.29","-.49001","1.44","0","","-181.75","-275.62201",".01","1.14","0","","","",".65","","424.04","","","","-26.62","7970722.5"
"AmBase Corp.","ABCP","-4.628","",".05","2.28999",".41999",".07","2.33","0","-.03","-.04","-68.04001","-68.08001","","0","","-11.31","6.3836",".58","21.59","0","","","11.73","","","40.74","-14.33","-12.98","10.274","","10331.85"
"Abcam PLC Unsponsored ADR","ABCZY","","","","","","","","","","","","","",".11757","3771.26416","","","20.07","3771.26",".42","","","","","","204.96","","","","","757.3"
"Abeona Therapeutics Inc.","ABEO","-26.57901","-32.63","3.36","0","5.59999","140.58999","21.08","0","-.25","-.75","-26.56201","-27.30201",".84","0","105.87412","-22.02","-180.926","21.45","635.24","0","","","3.95","164.96","","47.94","-23.02","-23.02","-42.945","-881.75","520251.66"
"Ambev S.A.","ABEV","4954.57421",".15",".95","1143.14001","8985.23046","7741.66992",".97",".06",".04",".23","6517.75","5386.43994","15011.16",".14959","38546.20312","14.38","15.864","7.39","77092.41","2.93","1.06","15.56","5.18","5.13","21.35","15701.1","24.66","23.04","24.76899","24.94","34743692"
"Asbury Automotive Group, Inc.","ABG","189.6",".02","22.13","862.59997","1058.19995","1302.09997","1.19","1.9","2.08","7.3","342.20001","287.70001","6456.5","0","304.27737","6.32","6.20639","75.85","1521.39","0","1.07","8.21","3.38",".23","10.24","20.35","37.44","11.88","11.84","2.29","269211.75"
"Acacia Mining PLC","ABGLF","272.178","-.94","2.73","42.59999","405.69","463.25","1.14","",".02",".3","-571.29999","-697.26001","751.52","0","301.4132","8.74","-4.1744","2.77","602.83","0","","2.21",".54",".89","4.9","410.09","12.54","12.14","-4.6438","18.68","68"
"Abtech Holdings, Inc.","ABHD","-4.31","-6.65","-.03",".02999","11.39999",".43999",".05","0","0","0","-3.65001","-3.66001",".57","0","","-595.89","-521.047",".02","3.79","0","","","","5.58","","504.87","","","","-641.59","20717.95"
"Ability Inc.","ABIL","-8.631","-3.07","-.94","0","7.03","6.48",".82","","-1.23","","-8.63001","-9.11","2.97","0","","-45.52","3.87919","12.02","12.12","0","","","","4.7","","2.58","-1595.81","-1595.81","4.3586","-354.25","1973023.63"
"ARCA biopharma, Inc.","ABIO","-18.02001","",".65","0","2.06999","12.28999","9.44","0","-.15","-1.08","-18.074","-18.54401","","0","","-103.45","-59.10301","1.9","8.01","0","","",".89","","","13.92","-120.73","-120.73","-65.20201","","2226279"
"American Biltrite Inc.","ABLT","","","","","","","","","","","","","","0","","","","540","17.1","0","","","","","",".03","","","","","3.8"
"ABM Industries Incorporated","ABM","172","0","21.91","1161.30004","757.79998","1235.5","1.73","",".47","1.61","176.19999","106.09999","5453.6",".68","2093.88256","2.95","4.18489","44.63","2093.88","2.2","","12.06","1.45",".35","19.78","65.74","7.79","4.55","7.31209","1.69","577223.56"
"American Bio Medica Corp.","ABMC","-.345","-.11",".01",".76999","1.47","1.95","1.05","3.17","-.01","-.02","-.07001","-.27001","4.91","0","","-25.67","-9.72411",".2","2.84","0","","","12.36",".65","","29.93","-144.73","-59.8","-24.257","-17.05","2145.75"
"ABIOMED, Inc.","ABMD","123.16999",".19","16.12","0","84.68","494.26998","6.49","0",".78","2.72","171.42999","160.42999","593.75","0","2012.84558","16.64","10.17599","446.21","16102.76","0","3.85","128.99","22.26","25.11","131.92","44.88","18.91","18.81","11.805","19.54","709709"
"Advanced Biomedical Technologies, Inc.","ABMT","-.68001","","-.08","0","5.07999",".01999",".01","","0","0","-.43001","-.44","","0","","-830.53","-571.96503","1","37.81","0","","","","","","69.37","","","","","365.5"
"Arbor Realty Trust","ABR","55.839",".47","11.33","1721.36999","381.10998","3401.46997","12.66","2.25",".31","1.06","79.94999","97.5","156.18",".70999","876.04339","2.74","2.74889","11.74","876.04","8.61","","12.84","1.03","3.56","11.98","75.39","12.62","3.9","3.5095","40.82","1359145.13"
"Abbott Laboratories","ABT","8333",".02","17.54","27210","8912","20147","1.58",".64",".73","2.72","7068","3135","27390","1.05999","9461.62695","6.68","7.5191","65.66","113539.52","1.73","1.81","13.52","3.69","3.84","23.79","1754.32","15.3","8.85","11.15799","16.25","4458393"
"Arbutus Biopharma Corporation","ABUS","-54.08001","-7.89","2.11","12","14.61999","129.36","13.67",".01","-.44","-1.87","-65.65001","-108.47001","10.7","0","168.0588","-38.94","-17.498","12.35","504.18","0","","","4.3","42.01","","55.4","-75.07","-47.11","-22.564","-830.83","468159.34"
"Ecology Coatings Inc.","ABVC","-4.07001","","-.01","0",".02999","2.75","12.75","","0","","-4","-4","","0","","-190.64","-857.85901","2","427.85","0","","","","","","213.93","","","","","5.2"
"Airborne Wireless Network","ABWN","","","-.1","","","",".38","0","","","","","","0","","","","2.96",".02","0","","","","","","97.54","","","","","381200832"
"Barrick Gold Corporation","ABX","2523",".17","9.52","6364","1747","4684","2.12",".51",".07",".6","5085","3438","8374",".11999","1299.15197","2.74","3.0736","18.22","11692.37","1.2","7.95","4.63","1.05","1.51","16.7","1166.9","6.13","3.95","4.13079","8.93","15008507"
"Associated Capital Group, Inc.","AC","23.41699",".33","39.67","0","42.52999","702.22998","16.95","0",".51",".29","6.48999","6.48","26.92",".3","",".7",".84984","41.65","854.08",".54","","37.5",".94","32.44","128.1","22.99",".76",".73",".89073","26.26","12221.25"
"ACADIA Pharmaceuticals Inc.","ACAD","-286.98301","-2.32","2.12",".18999","49.02999","373.47","6.12","0","-.51","-2.03","-285.85999","-288.28","124.9","0","271.47354","-68.76","-46.38701","39.14","1628.84","0","","","6.15","8.8","","125.01","-78.56","-78.44","-50.26201","-135.99","2886301.5"
"Aurora Cannabis Inc.","ACBFF","-10.51501","","1.18","48.09999","17.68","145.94","2.91","","-.04","-.03","-7.24","-8.05001","13.62","0","","-3.24","","11.94","2816.73","0","","","4.23","85.5","","566.75","-4.45","-3.95","","-35.94","1977835.75"
"American Campus Communities Inc","ACC","301.52801",".09","26.89","3024.51","53.74","73.94","1.43",".77",".52","2.29","374.72","142.22999","796.45","1.74","1921.60339","1.7","1.3313","48.65","5764.81","4.37","","19.03","1.56","6.81","18.37","137.03","3.29","1.76","1.3854","13.78","734445.13"
"Acacia Diversified Holdings Inc.","ACCA","-1.74001","-3.89","-.05","0","1.09",".10999",".08","-.01","-.03","-.13","-1.32001","-1.41",".47","0","","-246.28","-147.747",".8","3.78","0","","","","12.23","","18.08","","","-1040.04395","-520.07","18909.85"
"Opexa Therapeutics, Inc.","ACER","-14.19","","1.45","0","2.02999","16.52","3.26","0","-.64","-2.89","-13.94601","-13.95","2.9","0","56.25357","-83.4","-88.616","29.82","281.27","0","","","20.02","","","9.72","-94.76","-94.76","-132.39501","","70129.85"
"Aceto Corporation","ACET","73.357","","6.61","339.20001","222.8","474.16","1.12","",".01",".8","67.8","33.13","638.32",".20499","","2.88","6.9608","16.13","100.37","1.23","","1.34",".49",".14","4.07","30.79","7.93","4.47","9.7171","3.81","182505.25"
"Acorn Energy Inc.","ACFN","-1.489","-.27","-.03","0","7.51999","8.69999",".92","0","-.02","-.05","-1.84001","-1.91","4.35","0","","-24.43","-26.789",".42","8.27","0","","","","1.78","","29.54","-699.59","-699.59","-176.88901","-36.88","46789.35"
"Agri Bank China","ACGBY","45817.53906",".24","162.44","70302.52343","2516168","2185359",".87","",".67","2.1","57227.88671","39994.02734","120570.7",".51077","","","1.0834","15.85","14318.14","5","",".31",".07",".12","5.55","1229.55","","","13.58899","","13865.4"
"Amacore Group Inc.","ACGI","","","","","","","","","","","","","","0","","","","0","1.26","0","","","","","","1047.72","","","","","97577.7"
"Arch Capital Group Ltd.","ACGL","572.92498",".11","22.81","3474.80004","17308.01953","13655.48046",".75",".31",".59","1.34","1000.46997","874.70001","5627.38","0","2069.05151","1.9","2.38509","34.13","12414.31","0","1.25","20.99","1.34","2.26","22.91","405.3","6.86","4.5","6.1497","11.14","1156300"
"Aluminum Corporation of China Limited","ACH","1300.85803",".01","17.93","6192.41015","13829.20019","10505.0996",".86",".74","0","","2334.56005","1259.70996","29526.04","0","","","","23.45","5866.14","0","","4.51",".55","","","596.15","","","","","82342.45"
"Acadia Healthcare Company, Inc.","ACHC","353.09201",".07","30.06","3205.05004","377.38","471.54998","1.24","1.2",".7","2.41","565.65002","412.79","2836.32","0","384.38421","3.19","3.9825","51.68","3459.46","0","1.21","9.75","1.3","1.17","16.26","88.27","7.93","3.54","4.42049","7","1006930.38"
"Achillion Pharmaceuticals, Inc.","ACHN","-83.03601","","2.13",".12999","12.88","303.92999","35.95","0","-.12","-.58","-82.98001","-85.18001","15","0","116.87418","-24.41","-24.275","5.11","350.62","0","","","1.19","","","138.59","-25.26","-25.25","-25.78701","","923561.19"
"OncoGenex Pharmaceuticals Inc.","ACHV","-10.30301","","3.61","0","2.00999","5.9","5.64","0","-1.82","-16.42","-13.35001","-13.63001","5.06","0","","-126.69","-65.67801","36.9","12.74","0","","",".78","","","4.55","-155.83","-155.75","-89.72101","","81874.9"
"Acacia Communications, Inc.","ACIA","62.00799",".1","12.48","0","85.62","447.23999","6.94","0","-.08",".75","52.58","40.29999","385.17","0","1524.67993","2.25","38.504","49.5","1524.68","0","","23.88","3.01","4.63","64.83","40.55","2.66","2.66","55.71699","4.09","768435.13"
"AC Immune  SA","ACIU","-16.525","-1.72","1.47",".4","9.90999","131.63999","9.65",".01","-.2","-.5","-22.14","-22.72","15.58","0","281.89364","-22.37","","16.45","563.79","0","","","5.82","26.38","","65.86","-25.44","-25.34","","-132.24","290146.5"
"ACI Worldwide, Inc.","ACIW","227.74499",".01","8.13","667.94","321.77999","421.82","1.5",".7","-.13",".49","189.08999","82.58","1024.19","0","1559.86608","2.84","4.3786","27.5","3119.73","0","2.81","14.03","3.32","3.13","59.89","115.76","6.3","3.56","5.8221","5.46","545099.69"
"Axcelis Technologies, Inc.","ACLS","54.485",".31","11.92","0","79.27999","339.76998","5.44","0",".43","1.69","53.95","48.95","410.56","0","207.07841","12.2","2.57119","36.63","621.24","0",".72","11.07","1.61","1.34","11.36","32.36","16.84","16.84","4.28119","12.43","373820.41"
"Accelerize Inc.","ACLZ","-1.34801","-.1","-.09","4.67","7.05","3.45",".68","-1.28","-.02","-.07","-.24","-1.21001","24.1","0","","-54.69","-51.77501",".38","19.19","0","","","",".82","","66.18","","-582.02","-281.21601","-18.97","16985.8"
"AECOM","ACM","745.82",".02","26.5","3702.10009","5578.37011","6682.22021","1.2",".87",".62","2.6","939.11999","660.48999","18203.4","0","1058.2539","2.88","3.48499","39.62","5291.27","0","2.21","6.92","1.24",".27","12.66","160.78","9.86","5.25","6.19029","2.13","751087.94"
"ACM Research, Inc.","ACMR","1.577","-.01","3.27","0","21.80999","62.90999","2.25","0",".19",".27",".21999","-.05001","36.51","0","178.02825","7.14","","14.94","178.03","0","","104.59","3.91","3.38","60.71","13.96","14.9","14.9","","9.78","79969.95"
"Acmat Corp.","ACMT","","","","","","","","","","","","","","0","","","","28","23.16","0","","","","","",".83","","","","","15.25"
"Acmat Corp.","ACMTA","","","","","","","","","","","","","","0","","","","28.75","23.78","0","","","","","",".83","","","","","64.4"
"Accenture PLC","ACN","4558.50292",".09","15.82","22.15999","9824.26953","12097.29003","1.29","0","1.79","6.64","5433.35009","4631.56982","36765.48","2.42","8557.57519","18.34","17.85499","168.09","111248.48","1.61","2.38","23.02","10.42","2.74","24.83","674.68","42.01","41.91","47.158","10.4","1864750.38"
"American Community Newspapers Inc.","ACNI","","","","","","","","","","","","","","0","","","",".01",".03","0","","","","","","14.62","","","","","157.35"
"Accelera Innovations, Inc.","ACNV","-1.655","","","0","2.39",".00274","","","0","","-1.21001","-1.48001","0","0","","","-3285.25","0",".16","0","","","","","","81.41","","","","","40233.2"
"Acorda Therapeutics, Inc.","ACOR","83.274","-.38","12.78","334.47","143.96","441.69","4.09",".56","1.4","2.58","-197.84","-233.22001","588.29","0","669.52441","3.88","1.03719","32.6","1339.05","0","","15.83","2.21","2.27","27.92","47.48","8.19","5.22","1.32439","8.2","486104.69"
"Ares Commercial Real Estate Corporation","ACRE","32.58599",".31","14.71","1336.76","0","28.71999","","3.27",".35","1.33","31.63999","30.61","97.54","1.08","135.17228","2.15","1.8371","14.22","405.52","7.93","","12.4",".96","3.66","10.7","28.7","8.85","2.17","1.93379","33.61","90026.7"
"Aclaris Therapeutics, Inc.","ACRS","-69.923","-40.71","5.62","0","12.76","200.22","8.53","0","-1.01","-3.42","-69.95","-70.35","1.68","0","161.61755","-45.02","-64.366","27.8","484.85","0","","","2.78","74.93","","30.98","-49.45","-49.45","-68.491","-1612.81","234173.7"
